# Generated from Chewing tsi.csv
# Source revision: ea74f76dd2548b1d65d0ff70c3ae66057a6ad97d
# Dictionary license: LGPL-2.1-or-later
㹴	犬
三藐	三
三藐三	菩
三藐三菩	提
三藩	市
三角	形	洲	函	架	測	褲	鐵	肌
三角函	數
三角戀	愛
三角方	程
三角測	量
三角皮	帶
三言	兩
三言兩	語
三請	四
三請四	喚
三讀	通	會
三讀通	過
三足	鼎
三足鼎	立
三跪	九
三跪九	叩
三軍	總	人
三軍人	節
三軍總	醫
三軍總醫	院
三輪	車	兒	式
三通	閥
三週	年
三達	德
三部	曲	合
三部合	唱
三重	區	市	奏	唱	人	秘
三重人	格
三重秘	傳
三長	兩	制
三長兩	短
三門	峽
三閭	大
三閭大	夫
三阻	四
三陽	開
三陽開	泰
三隻	手
三青	團
三面	亞	夏	紅	體
三面亞	當
三面夏	娃
三面紅	旗
三項	式
三頭	六
三頭六	臂
三顧	茅
三顧茅	廬	蘆
三顯	一
三風	十
三風十	愆
三餐	不
三餐不	繼
三魂	七
三魂七	魄
三點	式	鐘	水
三鼻	給
上	頁	午	市	士	述	尉	位	課
上一	代	層
上一層	樓
上三	竿
上上	個	下	星	之
上上下	下
上上之	策
上上個	月
上上星	期
上下	下	級	文	其	顛
上下其	手
上下顛	倒
上不	可	去	來	足	下	起
上中	下	農
上中下	游
上之	策
上人	頭	家
上任	三
上任三	把
上任三把	火
上住	戶
上作	業	亂
上來	到
上保	險
上個	月
上元	節
上光	榮
上八	下
上列	車
上到	下
上前	去	來
上加	霜	難	油	錯	罪	苦	親
上動	土
上千	人
上半	年	場	身	部	天	夜
上古	史	時
上古時	代
上台	演
上台演	唱	講	奏
上吊	自
上吊自	殺
上吐	下
上吐下	瀉
上向	下
上君	子
上問	下
上啟	下
上坡	路	道
上場	比
上場比	賽
上大	學
上天	堂	無
上天無	路
上套	兒
上好	的	下
上學	校	時
上官	司	婉
上官婉	兒
上將	軍
上將軍	官
上尉	軍
上尉軍	官
上層	社	建	組
上層建	築
上層社	會
上層組	織
上山	下
上山下	海	鄉
上岸	時
上帝	教	會
上年	紀
上床	睡
上床睡	覺
上弦	月
上得	起
上心	來
上忽	下
上情	下
上情下	達
上意	識
上戰	場
上所	述	示
上早	下
上明	珠
上星	期
上映	期
上映期	間
上書	房
上有	名	人	天	德
上有天	堂
上校	軍
上校軍	官
上梁	山	不
上梁不	正
上榜	名
上榜名	單
上樑	不
上樑不	正
上樑不正	下
上樓	去	來
上機	時
上機時	間
上欺	下
上正	等
上正等	正
上正等正	覺
上氣	不
上氣不	接
上氣不接	下
上水	船
上沃	爾
上沃爾	特
上流	社	人
上流人	士
上流社	會
上海	市	人	灘	話	港
上添	花	毫
上游	工
上游工	業
上滾	利
上無	光	名	毛	難	人
上無難	事
上無難事	只
上片	時
上片時	間
上班	族	時	服
上班時	間
上用	場
上發	條
上百	人
上的	螞
上的螞	蟻
上皮	細	組
上皮細	胞
上皮組	織
上眉	梢
上眼	皮
上程	度
上空	裝
上等	兵	貨
上籃	得
上籃得	分
上繳	利
上繳利	潤
上老	君
上而	下
上聖	母
上肢	骨
上能	下
上腳	下
上腺	素
上臂	骨
上芭	蕾
上花	列
上花列	傳
上藥	膏
上行	下	列
上行下	效
上行列	車
上表	演
上訴	人
上課	時	證
上課時	數
上談	兵
上警	察
上議	院
上貼	金
上賊	船
上起	來
上跳	下
上車	時
上軌	道
上輩	子
上進	心
上運	動	輸
上達	天
上達天	聽
上酒	家
上銀	幕
上錯	天
上錯天	堂
上錯天堂	投
上鏡	頭
上門	來	去
上階	層	級
上隴	間
上顎	骨
上飛	機	行
下	午	列	一	來	去	面	麵	次
下一	個	代	步	家
下下	星	個	之
下下之	策
下下個	月
下下星	期
下不	亂	了	來	為	去	可	管	表
下不了	台	臺
下不為	例
下丘	腦
下中	農
下之	意	辱	嫌	策	珠	盟
下人	耳	家
下人耳	目
下住	戶
下來	到
下個	月
下其	手
下列	車
下到	上
下功	夫
下午	茶
下半	年	場	身	月	夜	旗
下句	話
下台	一	來	去
下台一	鞠
下台一鞠	躬
下向	上
下回	分
下回分	解
下地	無
下地無	門
下坡	路
下場	比
下場比	賽
下墜	球
下大	亂	錯	禍
下太	平
下如	何
下學	時
下定	決	義
下定決	心
下害	蟲
下屠	刀
下屠刀	立
下屠刀立	地
下層	研	社	組
下層研	究
下層社	會
